Tabla,Error
"dist. niveles x usuario","Tabla 'dist. niveles x usuario' no reconocida."
"analisis x aplicativo","Tabla 'analisis x aplicativo' no reconocida."
"base de datos","Tabla 'base de datos' no reconocida."
ejemplo,"Tabla 'ejemplo' no reconocida."
usuariosxticket,"Tabla 'usuariosxticket' no reconocida."
